LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
View002;;0;1.35306e+08;1.56132e+08;1.72306e+08;1.56132e+08;
View002;;0;1.34306e+08;1.44132e+08;1.34306e+08;1.55132e+08;
View002;;0;1.73306e+08;1.44132e+08;1.34306e+08;1.55132e+08;
View002;;0;1.34306e+08;1.44132e+08;1.73306e+08;1.44132e+08;
View002;;0;1.73306e+08;1.55132e+08;1.34306e+08;1.55132e+08;
View002;;0;1.73306e+08;1.44132e+08;1.73306e+08;1.55132e+08;
View002;;0;1.72306e+08;1.43132e+08;1.35306e+08;1.43132e+08;
View002;;0;1.72306e+08;1.56132e+08;1.73306e+08;1.55132e+08;
View002;;0;1.35306e+08;1.56132e+08;1.73306e+08;1.55132e+08;
View002;;0;1.35306e+08;1.56132e+08;1.34306e+08;1.55132e+08;
View002;;0;1.35306e+08;1.43132e+08;1.34306e+08;1.44132e+08;
View002;;0;1.73306e+08;1.44132e+08;1.72306e+08;1.43132e+08;
View002;;0;1.35306e+08;1.43132e+08;1.73306e+08;1.44132e+08;
View002;;0;1.38417e+08;1.39747e+08;1.39106e+08;1.39876e+08;
View002;;0;1.38763e+08;1.37775e+08;1.39471e+08;1.37933e+08;
View002;;0;1.39471e+08;1.37933e+08;1.38782e+08;1.37805e+08;
View002;;0;1.38782e+08;1.37805e+08;1.38763e+08;1.37775e+08;
View002;;0;1.38763e+08;1.37775e+08;1.39452e+08;1.37904e+08;
View002;;0;1.39452e+08;1.37904e+08;1.39471e+08;1.37933e+08;
View002;;0;1.38537e+08;1.39198e+08;1.39106e+08;1.39876e+08;
View002;;0;1.38417e+08;1.39747e+08;1.38537e+08;1.39198e+08;
View002;;0;1.39226e+08;1.39327e+08;1.39106e+08;1.39876e+08;
View002;;0;1.38537e+08;1.39198e+08;1.39226e+08;1.39327e+08;
View002;;0;1.38688e+08;1.38394e+08;1.39226e+08;1.39327e+08;
View002;;0;1.38537e+08;1.39198e+08;1.38688e+08;1.38394e+08;
View002;;0;1.39377e+08;1.38523e+08;1.39226e+08;1.39327e+08;
View002;;0;1.38688e+08;1.38394e+08;1.39377e+08;1.38523e+08;
View002;;0;1.38782e+08;1.37805e+08;1.39377e+08;1.38523e+08;
View002;;0;1.38688e+08;1.38394e+08;1.38782e+08;1.37805e+08;
View002;;0;1.39471e+08;1.37933e+08;1.39377e+08;1.38523e+08;
View002;;0;1.39452e+08;1.37904e+08;1.40863e+08;1.3833e+08;
View002;;0;1.40863e+08;1.3833e+08;1.39471e+08;1.37933e+08;
View002;;0;1.39452e+08;1.37904e+08;1.40845e+08;1.38301e+08;
View002;;0;1.40863e+08;1.3833e+08;1.40845e+08;1.38301e+08;
View002;;0;1.39841e+08;1.40022e+08;1.4044e+08;1.40384e+08;
View002;;0;1.40845e+08;1.38301e+08;1.41463e+08;1.38692e+08;
View002;;0;1.41463e+08;1.38692e+08;1.40863e+08;1.3833e+08;
View002;;0;1.40845e+08;1.38301e+08;1.41445e+08;1.38663e+08;
View002;;0;1.41445e+08;1.38663e+08;1.41463e+08;1.38692e+08;
View002;;0;1.40153e+08;1.39547e+08;1.4044e+08;1.40384e+08;
View002;;0;1.39841e+08;1.40022e+08;1.40153e+08;1.39547e+08;
View002;;0;1.40753e+08;1.39909e+08;1.4044e+08;1.40384e+08;
View002;;0;1.40153e+08;1.39547e+08;1.40753e+08;1.39909e+08;
View002;;0;1.40577e+08;1.38846e+08;1.40753e+08;1.39909e+08;
View002;;0;1.40153e+08;1.39547e+08;1.40577e+08;1.38846e+08;
View002;;0;1.41177e+08;1.39208e+08;1.40753e+08;1.39909e+08;
View002;;0;1.40577e+08;1.38846e+08;1.41177e+08;1.39208e+08;
View002;;0;1.40863e+08;1.3833e+08;1.41177e+08;1.39208e+08;
View002;;0;1.40577e+08;1.38846e+08;1.40863e+08;1.3833e+08;
View002;;0;1.41463e+08;1.38692e+08;1.41177e+08;1.39208e+08;
View002;;0;1.41445e+08;1.38663e+08;1.42574e+08;1.39499e+08;
View002;;0;1.42574e+08;1.39499e+08;1.41463e+08;1.38692e+08;
View002;;0;1.41445e+08;1.38663e+08;1.42556e+08;1.3947e+08;
View002;;0;1.42574e+08;1.39499e+08;1.42556e+08;1.3947e+08;
View002;;0;1.41943e+08;1.40944e+08;1.41039e+08;1.40745e+08;
View002;;0;1.41039e+08;1.40745e+08;1.41502e+08;1.404e+08;
View002;;0;1.41502e+08;1.404e+08;1.41943e+08;1.40944e+08;
View002;;0;1.41943e+08;1.40944e+08;1.4148e+08;1.41289e+08;
View002;;0;1.41039e+08;1.40745e+08;1.4148e+08;1.41289e+08;
View002;;0;1.42556e+08;1.3947e+08;1.43016e+08;1.40043e+08;
View002;;0;1.43016e+08;1.40043e+08;1.42574e+08;1.39499e+08;
View002;;0;1.42556e+08;1.3947e+08;1.42997e+08;1.40014e+08;
View002;;0;1.42997e+08;1.40014e+08;1.43016e+08;1.40043e+08;
View002;;0;1.42138e+08;1.39884e+08;1.41943e+08;1.40944e+08;
View002;;0;1.41502e+08;1.404e+08;1.42138e+08;1.39884e+08;
View002;;0;1.42579e+08;1.40428e+08;1.41943e+08;1.40944e+08;
View002;;0;1.42138e+08;1.39884e+08;1.42579e+08;1.40428e+08;
View002;;0;1.43016e+08;1.40043e+08;1.42138e+08;1.39884e+08;
View002;;0;1.42138e+08;1.39884e+08;1.42574e+08;1.39499e+08;
View002;;0;1.43016e+08;1.40043e+08;1.42579e+08;1.40428e+08;
View002;;0;1.42997e+08;1.40014e+08;1.43787e+08;1.41178e+08;
View002;;0;1.43787e+08;1.41178e+08;1.43016e+08;1.40043e+08;
View002;;0;1.42997e+08;1.40014e+08;1.43768e+08;1.41149e+08;
View002;;0;1.43787e+08;1.41178e+08;1.43768e+08;1.41149e+08;
View002;;0;1.42712e+08;1.42322e+08;1.41921e+08;1.41831e+08;
View002;;0;1.41921e+08;1.41831e+08;1.42481e+08;1.4166e+08;
View002;;0;1.42481e+08;1.4166e+08;1.42712e+08;1.42322e+08;
View002;;0;1.42712e+08;1.42322e+08;1.42152e+08;1.42492e+08;
View002;;0;1.41921e+08;1.41831e+08;1.42152e+08;1.42492e+08;
View002;;0;1.42152e+08;1.42492e+08;1.41906e+08;1.41813e+08;
View002;;0;1.42152e+08;1.42492e+08;1.42133e+08;1.42463e+08;
View002;;0;1.41906e+08;1.41813e+08;1.42133e+08;1.42463e+08;
View002;;0;1.44018e+08;1.41839e+08;1.43787e+08;1.41178e+08;
View002;;0;1.43254e+08;1.4139e+08;1.42712e+08;1.42322e+08;
View002;;0;1.42481e+08;1.4166e+08;1.43254e+08;1.4139e+08;
View002;;0;1.43485e+08;1.42051e+08;1.42712e+08;1.42322e+08;
View002;;0;1.43254e+08;1.4139e+08;1.43485e+08;1.42051e+08;
View002;;0;1.44018e+08;1.41839e+08;1.43254e+08;1.4139e+08;
View002;;0;1.43254e+08;1.4139e+08;1.43787e+08;1.41178e+08;
View002;;0;1.44018e+08;1.41839e+08;1.43485e+08;1.42051e+08;
View002;;0;1.4435e+08;1.43094e+08;1.44018e+08;1.41839e+08;
View002;;0;1.44351e+08;1.43132e+08;1.4435e+08;1.43094e+08;
View002;;0;1.42355e+08;1.43072e+08;1.42355e+08;1.43132e+08;
View002;;0;1.42374e+08;1.43101e+08;1.42373e+08;1.43132e+08;
View002;;0;1.42355e+08;1.43072e+08;1.42374e+08;1.43101e+08;
View002;;0;1.42374e+08;1.43101e+08;1.42374e+08;1.43132e+08;
View002;;0;1.42966e+08;1.4312e+08;1.42955e+08;1.43132e+08;
View002;;0;1.42374e+08;1.43101e+08;1.42966e+08;1.4312e+08;
View002;;0;1.42966e+08;1.4312e+08;1.42966e+08;1.43132e+08;
View002;;0;1.43785e+08;1.43117e+08;1.43766e+08;1.43132e+08;
View002;;0;1.42966e+08;1.4312e+08;1.43785e+08;1.43117e+08;
View002;;0;1.43785e+08;1.43117e+08;1.43785e+08;1.43132e+08;
View002;;0;1.43798e+08;1.43132e+08;1.43785e+08;1.43117e+08;
View002;;0;1.43785e+08;1.43117e+08;1.4435e+08;1.43094e+08;
View002;;0;1.44018e+08;1.41839e+08;1.43785e+08;1.43117e+08;
View002;;0;1.43785e+08;1.43117e+08;1.43485e+08;1.42051e+08;
View002;;0;1.43485e+08;1.42051e+08;1.42966e+08;1.4312e+08;
View002;;0;1.42966e+08;1.4312e+08;1.42712e+08;1.42322e+08;
View002;;0;1.42712e+08;1.42322e+08;1.42374e+08;1.43101e+08;
View002;;0;1.42374e+08;1.43101e+08;1.42152e+08;1.42492e+08;
View002;;0;1.42374e+08;1.43101e+08;1.42133e+08;1.42463e+08;
View002;;0;1.42355e+08;1.43072e+08;1.42133e+08;1.42463e+08;
View002;;0;1.43016e+08;1.40043e+08;1.43254e+08;1.4139e+08;
View002;;0;1.43254e+08;1.4139e+08;1.42579e+08;1.40428e+08;
View002;;0;1.42579e+08;1.40428e+08;1.42481e+08;1.4166e+08;
View002;;0;1.42481e+08;1.4166e+08;1.41943e+08;1.40944e+08;
View002;;0;1.41943e+08;1.40944e+08;1.41921e+08;1.41831e+08;
View002;;0;1.41921e+08;1.41831e+08;1.4148e+08;1.41289e+08;
View002;;0;1.41463e+08;1.38692e+08;1.42138e+08;1.39884e+08;
View002;;0;1.42138e+08;1.39884e+08;1.41177e+08;1.39208e+08;
View002;;0;1.41177e+08;1.39208e+08;1.41502e+08;1.404e+08;
View002;;0;1.41502e+08;1.404e+08;1.40753e+08;1.39909e+08;
View002;;0;1.40753e+08;1.39909e+08;1.41039e+08;1.40745e+08;
View002;;0;1.41039e+08;1.40745e+08;1.4044e+08;1.40384e+08;
View002;;0;1.39471e+08;1.37933e+08;1.40577e+08;1.38846e+08;
View002;;0;1.40577e+08;1.38846e+08;1.39377e+08;1.38523e+08;
View002;;0;1.39377e+08;1.38523e+08;1.40153e+08;1.39547e+08;
View002;;0;1.40153e+08;1.39547e+08;1.39226e+08;1.39327e+08;
View002;;0;1.39226e+08;1.39327e+08;1.39841e+08;1.40022e+08;
View002;;0;1.39841e+08;1.40022e+08;1.39106e+08;1.39876e+08;
View002;;0;1.60329e+08;1.5616e+08;1.57841e+08;1.57837e+08;
View002;;0;1.6031e+08;1.56132e+08;1.60329e+08;1.5616e+08;
View002;;0;1.57841e+08;1.57837e+08;1.59579e+08;1.56132e+08;
View002;;0;1.57841e+08;1.57837e+08;1.57531e+08;1.57378e+08;
View002;;0;1.59379e+08;1.56132e+08;1.57531e+08;1.57378e+08;
View002;;0;1.57531e+08;1.57378e+08;1.58604e+08;1.56132e+08;
View002;;0;1.57531e+08;1.57378e+08;1.57073e+08;1.56699e+08;
View002;;0;1.57914e+08;1.56132e+08;1.57073e+08;1.56699e+08;
View002;;0;1.57073e+08;1.56699e+08;1.57634e+08;1.56132e+08;
View002;;0;1.57073e+08;1.56699e+08;1.56737e+08;1.56199e+08;
View002;;0;1.56836e+08;1.56132e+08;1.56737e+08;1.56199e+08;
View002;;0;1.56737e+08;1.56199e+08;1.56833e+08;1.56132e+08;
View002;;0;1.56737e+08;1.56199e+08;1.56718e+08;1.5617e+08;
View002;;0;1.56718e+08;1.5617e+08;1.56774e+08;1.56132e+08;
View002;;0;1.60354e+08;1.56132e+08;1.60329e+08;1.5616e+08;
View002;;0;1.56658e+08;1.58307e+08;1.53686e+08;1.58679e+08;
View002;;0;1.53631e+08;1.58599e+08;1.56658e+08;1.58307e+08;
View002;;0;1.53686e+08;1.58679e+08;1.53631e+08;1.58599e+08;
View002;;0;1.56603e+08;1.58227e+08;1.56658e+08;1.58307e+08;
View002;;0;1.56603e+08;1.58227e+08;1.53631e+08;1.58599e+08;
View002;;0;1.56496e+08;1.57599e+08;1.56603e+08;1.58227e+08;
View002;;0;1.53631e+08;1.58599e+08;1.56496e+08;1.57599e+08;
View002;;0;1.53631e+08;1.58599e+08;1.53524e+08;1.57971e+08;
View002;;0;1.56496e+08;1.57599e+08;1.53524e+08;1.57971e+08;
View002;;0;1.564e+08;1.5679e+08;1.56496e+08;1.57599e+08;
View002;;0;1.53524e+08;1.57971e+08;1.564e+08;1.5679e+08;
View002;;0;1.53524e+08;1.57971e+08;1.53427e+08;1.57162e+08;
View002;;0;1.564e+08;1.5679e+08;1.53427e+08;1.57162e+08;
View002;;0;1.5637e+08;1.56275e+08;1.564e+08;1.5679e+08;
View002;;0;1.53427e+08;1.57162e+08;1.5637e+08;1.56275e+08;
View002;;0;1.53427e+08;1.57162e+08;1.53398e+08;1.56647e+08;
View002;;0;1.5637e+08;1.56275e+08;1.53398e+08;1.56647e+08;
View002;;0;1.52418e+08;1.58538e+08;1.49609e+08;1.57525e+08;
View002;;0;1.49554e+08;1.57445e+08;1.52418e+08;1.58538e+08;
View002;;0;1.49609e+08;1.57525e+08;1.49554e+08;1.57445e+08;
View002;;0;1.52363e+08;1.58459e+08;1.52418e+08;1.58538e+08;
View002;;0;1.52363e+08;1.58459e+08;1.49554e+08;1.57445e+08;
View002;;0;1.49715e+08;1.56847e+08;1.52363e+08;1.58459e+08;
View002;;0;1.49554e+08;1.57445e+08;1.49715e+08;1.56847e+08;
View002;;0;1.52524e+08;1.5786e+08;1.52363e+08;1.58459e+08;
View002;;0;1.52524e+08;1.5786e+08;1.49715e+08;1.56847e+08;
View002;;0;1.50071e+08;1.56132e+08;1.52524e+08;1.5786e+08;
View002;;0;1.49715e+08;1.56847e+08;1.49978e+08;1.56132e+08;
View002;;0;1.52806e+08;1.57093e+08;1.52524e+08;1.5786e+08;
View002;;0;1.52806e+08;1.57093e+08;1.50142e+08;1.56132e+08;
View002;;0;1.51158e+08;1.56132e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53045e+08;1.56608e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53045e+08;1.56608e+08;1.51727e+08;1.56132e+08;
View002;;0;1.48547e+08;1.56825e+08;1.479e+08;1.56132e+08;
View002;;0;1.47906e+08;1.56132e+08;1.48547e+08;1.56825e+08;
View002;;0;1.48492e+08;1.56745e+08;1.48547e+08;1.56825e+08;
View002;;0;1.48492e+08;1.56745e+08;1.4792e+08;1.56132e+08;
View002;;0;1.48792e+08;1.56132e+08;1.48877e+08;1.56295e+08;
View002;;0;1.48877e+08;1.56295e+08;1.48726e+08;1.56132e+08;
View002;;0;1.49052e+08;1.56132e+08;1.48877e+08;1.56295e+08;
View002;;0;1.48877e+08;1.56295e+08;1.4865e+08;1.56132e+08;
View002;;0;1.48877e+08;1.56295e+08;1.48492e+08;1.56745e+08;
View002;;0;1.47731e+08;1.43132e+08;1.47937e+08;1.4287e+08;
View002;;0;1.47937e+08;1.4287e+08;1.48303e+08;1.43132e+08;
View002;;0;1.49142e+08;1.4254e+08;1.49417e+08;1.43132e+08;
View002;;0;1.49064e+08;1.43132e+08;1.49142e+08;1.4254e+08;
View002;;0;1.48396e+08;1.43132e+08;1.49142e+08;1.4254e+08;
View002;;0;1.48939e+08;1.42075e+08;1.49142e+08;1.4254e+08;
View002;;0;1.48371e+08;1.43132e+08;1.48939e+08;1.42075e+08;
View002;;0;1.47937e+08;1.4287e+08;1.48939e+08;1.42075e+08;
View002;;0;1.49715e+08;1.56847e+08;1.49562e+08;1.56132e+08;
View002;;0;1.49715e+08;1.56847e+08;1.48877e+08;1.56295e+08;
View002;;0;1.49554e+08;1.57445e+08;1.48877e+08;1.56295e+08;
View002;;0;1.49554e+08;1.57445e+08;1.48492e+08;1.56745e+08;
View002;;0;1.49609e+08;1.57525e+08;1.48492e+08;1.56745e+08;
View002;;0;1.49609e+08;1.57525e+08;1.48547e+08;1.56825e+08;
View002;;0;1.53398e+08;1.56647e+08;1.53045e+08;1.56608e+08;
View002;;0;1.53427e+08;1.57162e+08;1.53045e+08;1.56608e+08;
View002;;0;1.53427e+08;1.57162e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53524e+08;1.57971e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53524e+08;1.57971e+08;1.52524e+08;1.5786e+08;
View002;;0;1.53631e+08;1.58599e+08;1.52524e+08;1.5786e+08;
View002;;0;1.53631e+08;1.58599e+08;1.52363e+08;1.58459e+08;
View002;;0;1.53686e+08;1.58679e+08;1.52363e+08;1.58459e+08;
View002;;0;1.53686e+08;1.58679e+08;1.52418e+08;1.58538e+08;
View002;;0;1.5637e+08;1.56275e+08;1.56718e+08;1.5617e+08;
View002;;0;1.56737e+08;1.56199e+08;1.5637e+08;1.56275e+08;
View002;;0;1.564e+08;1.5679e+08;1.56737e+08;1.56199e+08;
View002;;0;1.57073e+08;1.56699e+08;1.564e+08;1.5679e+08;
View002;;0;1.57073e+08;1.56699e+08;1.56496e+08;1.57599e+08;
View002;;0;1.57531e+08;1.57378e+08;1.56496e+08;1.57599e+08;
View002;;0;1.56603e+08;1.58227e+08;1.57531e+08;1.57378e+08;
View002;;0;1.57841e+08;1.57837e+08;1.56603e+08;1.58227e+08;
